,WindPower
918,1395.8020000000001
920,1513.096
921,1467.632
923,1050.615
925,632.575
926,524.415
927,529.119
928,587.6419999999999
929,628.6759999999999
931,656.578
932,644.614
933,741.3530000000001
934,680.334
935,640.104
937,497.366
938,462.464
939,395.869
940,426.996
941,310.624
942,224.668
943,160.642
944,125.91
945,118.527
946,140.77200000000002
947,189.385
948,195.16099999999997
949,221.82
950,253.68
951,291.594
953,265.473
954,261.666
955,222.41099999999997
956,151.989
958,28.934
959,16.458
960,8.946
962,66.423
963,199.157
964,316.66700000000003
965,359.01800000000003
966,363.464
968,354.792
969,357.676
970,397.89099999999996
971,432.60699999999997
973,400.36699999999996
974,438.452
975,539.689
976,551.02
978,573.923
980,539.241
981,539.2909999999999
982,704.9830000000001
983,800.9789999999999
984,814.545
985,844.579
986,790.1189999999999
987,850.049
988,907.794
989,771.1239999999999
990,733.841
991,699.003
992,650.279
993,681.2389999999999
994,767.6030000000001
995,951.8860000000001
996,962.067
998,894.049
999,1008.046
1000,977.342
1001,776.8489999999999
1002,760.6089999999999
1003,787.9060000000001
1004,807.0010000000001
1006,882.995
1007,790.1610000000001
1008,715.298
1009,622.455
1010,592.554
1011,604.955
1014,599.925
1016,568.128
1017,721.697
1018,738.265
1019,836.335
1020,814.549
1021,801.0039999999999
1023,782.836
1024,728.503
1025,675.178
1026,624.345
1027,565.495
1028,522.528
1030,443.699
1031,405.369
1032,385.18300000000005
1033,351.95300000000003
1034,324.843
1035,316.518
1036,308.957
1037,287.215
1038,264.097
1039,230.61599999999999
1040,191.46599999999998
1041,149.444
1042,128.711
1043,109.345
1044,91.15700000000001
1045,70.602
1046,55.291000000000004
1047,45.659
1048,45.25
1049,42.422
1050,40.449
1051,37.961999999999996
1052,36.661
1053,48.908
1054,81.743
1055,146.773
1056,222.002
1057,226.583
1058,203.66299999999998
1060,194.628
1061,214.445
1062,235.4
1063,221.755
1064,156.69799999999998
1066,156.545
1067,159.621
1068,157.79
1069,157.76
1070,171.595
1071,269.323
1073,439.602
1074,440.11699999999996
1075,422.91
1076,410.07199999999995
1077,415.99199999999996
1079,402.774
1080,418.31699999999995
1081,453.85400000000004
1082,459.92900000000003
1083,417.24199999999996
1084,383.334
1085,381.69199999999995
1086,376.102
1087,329.0
1088,237.578
1089,186.079
1091,191.717
1092,184.82
1093,235.247
1094,376.30400000000003
1095,604.9540000000001
1096,710.086
1097,758.4989999999999
1098,827.9010000000001
1100,897.1160000000001
1101,701.2339999999999
1102,544.0409999999999
1103,457.885
1104,413.664
1105,363.413
1106,322.71
1107,291.598
1109,322.2
1110,320.362
1111,200.987
1112,42.302
1113,12.72
1114,48.765
1115,142.768
1116,258.277
1117,299.811
1118,353.754
1119,518.0409999999999
1120,650.279
1121,638.942
1122,664.215
1123,863.805
1124,959.095
1126,1423.845
1127,1487.775
1128,1504.8110000000001
1129,1521.402
1130,1510.119
1132,1406.5
1133,1360.5479999999998
1134,1307.413
1135,1242.9569999999999
1136,1197.27
1137,1209.313
1139,1343.454
1140,1336.315
1141,1265.9260000000002
1142,1129.64
1143,981.352
1144,832.4780000000001
1145,756.013
1146,682.306
1147,636.293
1148,560.239
1149,465.80800000000005
1150,413.593
1151,337.061
1152,318.013
1153,281.44
1154,228.25099999999998
1155,203.544
1156,207.14
1157,193.736
1158,157.411
1159,108.095
1160,58.507
1161,22.53
1162,6.216
1163,12.347000000000001
1164,25.505
1165,28.993000000000002
1166,18.022000000000002
1167,20.701
1168,92.06299999999999
1169,212.93
1170,289.53700000000003
1171,309.153
1172,268.94
1173,253.331
1174,227.71400000000003
1175,197.426
1176,177.445
1177,160.244
1178,140.925
1179,129.036
1180,116.30799999999999
1181,117.33
1182,103.55799999999999
1183,82.402
1184,56.70399999999999
1185,28.553
1186,27.95
1187,50.313
1188,87.156
1190,187.144
1191,341.015
1192,450.409
1193,420.033
1194,606.309
1195,716.0169999999999
1196,774.305
1197,938.9939999999999
1198,1112.88
1199,1252.119
1200,1367.81
1201,1455.1670000000001
1203,1601.471
1204,1680.5810000000001
1205,1733.836
1206,1746.096
1207,1661.874
1208,1455.955
1209,1182.993
1210,889.6010000000001
1211,647.261
1212,476.33
1213,357.24
1214,315.743
1215,331.69199999999995
1216,361.088
1217,370.49800000000005
1218,358.51099999999997
1219,341.369
1220,338.651
1221,350.231
1222,308.252
1223,297.73
1224,292.788
1225,283.58099999999996
1226,280.091
1227,239.78
1228,278.37
1229,274.895
1230,237.699
1231,199.24599999999998
1232,265.937
1233,234.03099999999998
1234,271.569
1235,317.47900000000004
1236,346.966
1237,354.23900000000003
1238,401.704
1239,439.645
1240,465.88800000000003
