,WindSpeed,IrrDirect,IrrDiffuse,Temperature,Percipitation,SnowFlow,SnowMass,AirDensity,RadSurface,RadTop,CloudCover,IsDayBin_Day,IsDayBin_Night,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12
45,6.973,0.0,0.0,-8.689,0.040999999999999995,0.040999999999999995,14.582,1.319,0.0,0.0,0.654,0,1,1,0,0,0,0,0,0,0,0,0,0,0
46,6.8260000000000005,0.0,0.0,-8.631,0.055,0.055,14.632,1.319,0.0,0.0,0.713,0,1,1,0,0,0,0,0,0,0,0,0,0,0
47,6.858,0.0,0.0,-8.395,0.057999999999999996,0.057999999999999996,14.689,1.319,0.0,0.0,0.746,0,1,1,0,0,0,0,0,0,0,0,0,0,0
48,6.593999999999999,0.0,0.0,-8.033999999999999,0.054000000000000006,0.054000000000000006,14.744000000000002,1.319,0.0,0.0,0.72,0,1,1,0,0,0,0,0,0,0,0,0,0,0
49,6.415,0.0,0.0,-8.103,0.044000000000000004,0.044000000000000004,14.790999999999999,1.319,0.0,0.0,0.715,0,1,1,0,0,0,0,0,0,0,0,0,0,0
50,6.327000000000001,0.0,0.0,-8.37,0.04,0.04,14.831,1.319,0.0,0.0,0.71,0,1,1,0,0,0,0,0,0,0,0,0,0,0
51,6.143,0.0,0.0,-8.743,0.03,0.03,14.867,1.318,0.0,0.0,0.66,0,1,1,0,0,0,0,0,0,0,0,0,0,0
52,6.166,0.0,0.0,-9.366,0.017,0.017,14.892000000000001,1.317,0.0,0.0,0.752,0,1,1,0,0,0,0,0,0,0,0,0,0,0
53,5.984,0.0,0.0,-9.713,0.013000000000000001,0.013000000000000001,14.909,1.3159999999999998,0.0,0.0,0.7290000000000001,0,1,1,0,0,0,0,0,0,0,0,0,0,0
54,5.94,0.0,0.0,-9.953,0.011000000000000001,0.011000000000000001,14.924000000000001,1.315,0.0,0.0,0.7090000000000001,0,1,1,0,0,0,0,0,0,0,0,0,0,0
55,5.936,0.0,0.0,-10.176,0.008,0.008,14.936,1.314,0.0,0.0,0.733,0,1,1,0,0,0,0,0,0,0,0,0,0,0
56,5.968999999999999,0.011000000000000001,0.003,-10.27,0.006999999999999999,0.006999999999999999,14.946,1.3119999999999998,4.9110000000000005,19.348,0.7190000000000001,1,0,1,0,0,0,0,0,0,0,0,0,0,0
57,5.896,0.054000000000000006,0.021,-9.613,0.008,0.008,14.955,1.311,35.989000000000004,104.43700000000001,0.655,1,0,1,0,0,0,0,0,0,0,0,0,0,0
58,5.712999999999999,0.09,0.035,-8.32,0.008,0.008,14.964,1.3090000000000002,63.786,160.33100000000002,0.6409999999999999,1,0,1,0,0,0,0,0,0,0,0,0,0,0
60,5.425,0.068,0.03,-7.537999999999999,0.009000000000000001,0.009000000000000001,14.964,1.306,52.989,141.563,0.629,1,0,1,0,0,0,0,0,0,0,0,0,0,0
61,5.47,0.033,0.013000000000000001,-8.363999999999999,0.008,0.008,14.969000000000001,1.305,21.701,68.158,0.652,1,0,1,0,0,0,0,0,0,0,0,0,0,0
